ISO3,Country,Corruption_Score,Press_Freedom_Score,Literacy_Rate_Pct,Rule_of_Law_Score_Pct,Total_Deal_Size,Avg_Deal_Size,Num_Deals,Prop_Agriculture,Prop_Mining,Climate_Cases,Prop_Climate_Decided,Prop_Climate_Agriculture,ISDS_Cases,Avg_Amount_Claimed,Total_Amount_Claimed,ISDS_Cases_Ag_Mining,Population,log_Population
HRV,Croatia,47.0,71.95,99.0,61.11957359409206,0.0,0.0,0.0,,,0.0,,,12.0,204.275,2451.3,1.0,3848160.0,15.163105669944887
HTI,Haiti,16.0,57.38,62.0,,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,11906100.0,16.29256143178669
HUN,Hungary,41.0,62.96,99.0,62.88834474157275,0.0,0.0,0.0,,,1.0,1.0,1.0,11.0,237.04545454545453,2607.5,1.0,9632290.0,16.080631554050925
IDN,Indonesia,37.0,54.83,96.0,64.37924514706555,70817122.39,93303.1915546772,759.0,0.7971014492753623,0.15019762845849802,1.0,0.0,1.0,5.0,381.78000000000003,1908.9,3.0,285721000.0,19.470526368174923
IND,India,38.0,36.62,74.0,60.91414532405594,1038816.88,3509.5164864864864,296.0,0.05405405405405406,0.04054054054054054,2.0,1.0,1.0,21.0,853.9761904761905,17933.5,4.0,1463870000.0,21.104349450728563
IRL,Ireland,77.0,89.91,,,0.0,0.0,0.0,,,9.0,0.3333333333333333,0.5555555555555556,0.0,0.0,0.0,0.0,5308040.0,15.484733210200867
IRN,Iran,23.0,24.81,89.0,,0.0,0.0,0.0,,,0.0,,,1.0,600.0,600.0,0.0,92417700.0,18.341829076708496
IRQ,Iraq,26.0,32.94,,,373.0,124.33333333333333,3.0,1.0,0.0,0.0,,,3.0,717.3666666666667,2152.1,0.0,47020800.0,17.66610061496804
ISL,Iceland,77.0,83.19,,,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,398266.0,12.89487540273426
ISR,Israel,64.0,57.57,92.0,,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,9517180.0,16.068609144398792
