Case URL,Case Filing Year for Action,Status,Case Categories,Geographies,agriculture,construction,education,energy_supply,enviromental_management,extractive,finance_insurance,fishing,forestry,informal,manufacturing,media,public,trade,transportation_logistics,water_management,num_sectors
https://www.climatecasechart.com/document/major-gas-users-group-v-commerce-commission_364f,2024,Decided,Suits against governments;Energy and power,NZL,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2
https://www.climatecasechart.com/document/makah-indian-tribe-v-exxon-mobil-corp_a16b,2024,Motion to remand granted.,Actions seeking money damages for losses;Adaptation,USA;US-WA,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,5
https://www.climatecasechart.com/document/makah-indian-tribe-v-exxon-mobil-corp_b223,2023,Complaint filed.,Actions seeking money damages for losses;Adaptation,USA;US-WA,1,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,7
https://www.climatecasechart.com/document/make-uc-a-good-neighbor-v-regents-of-university-of-california_0698,2021,Denial of petition for writ of mandate reversed.,State Impact Assessment Laws;State Law Claims,USA;US-CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
https://www.climatecasechart.com/document/marks-and-spencer-plc-v-secretary-of-state-for-levelling-up-housing-and-communities_57da,2023,Decided,GHG emissions reduction and trading;Other;Suits against governments,GBR,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
https://www.climatecasechart.com/document/marte-v-city-of-new-york_18ab,2022,Notice of appeal filed by plaintiffs.,State Law Claims;Environmentalist Lawsuits;State Impact Assessment Laws,USA;US-NY,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
https://www.climatecasechart.com/document/maryland-building-industry-association-v-mcilwain_d4e4,2025,Motion to dismiss filed.,Constitutional Claims;Federal Statutory Claims;Other Constitutional Claims;Other Statutes and Regulations,USA;US-MD,0,1,1,1,0,0,0,0,0,0,1,1,1,1,0,1,8
https://www.climatecasechart.com/document/maryland-clean-energy-center-v-united-states_7a9b,2025,Complaint filed.,Federal Statutory Claims;Other Statutes and Regulations,USA,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,4
https://www.climatecasechart.com/document/mato-grosso-state-law-against-the-soy-moratorium_0dcf,2024,Pending,Protecting biodiversity and ecosystems;Suits against governments,BRA,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2
https://www.climatecasechart.com/document/matter-of-chesapeake-bay-foundation-inc_cc71,2021,Issuance of permit affirmed.,Clean Water Act;Environmentalist Lawsuits;Federal Statutory Claims;State Law Claims,USA;US-MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
