ISO3,Country,Corruption_Score,Press_Freedom_Score,Literacy_Rate_Pct,Rule_of_Law_Score_Pct
TZA,Tanzania,41.0,44.02,82.0,54.61744134229054
UGA,Uganda,26.0,46.08,81.0,43.41433887665337
UKR,Ukraine,35.0,61.19,100.0,36.12442225458212
URY,Uruguay,76.0,70.33,99.0,70.38678255894597
USA,United States,65.0,71.22,,76.85695671443429
UZB,Uzbekistan,32.0,45.73,100.0,23.71280701002755
VCT,Saint Vincent and the Grenadines,63.0,,97.0,
VEN,Venezuela,10.0,36.99,98.0,
VNM,Vietnam,40.0,24.58,96.0,40.39741491778947
VUT,Vanuatu,50.0,,89.0,
WSM,,,82.15,99.0,
XKX,,,68.38,,
YEM,Yemen,13.0,32.78,70.0,
ZAF,South Africa,41.0,78.6,90.0,62.29821253822355
ZMB,Zambia,39.0,59.41,88.0,50.809257417315465
ZWE,Zimbabwe,21.0,48.17,90.0,25.02011693899971
ZWE,Zimbabwe,21.0,48.17,90.0,25.02011693899971
