respondent_state,investor_home_state,economic_sector,economic_subsector,summary_of_dispute,amount_claimed_raw,year,amount_claimed_musd,respondent_state_iso3,investor_home_state_iso3,sector_A,sector_B,sector_C,sector_D,sector_E,sector_F,sector_G,sector_H,sector_I,sector_J,sector_K,sector_L,sector_M,sector_N,sector_O
Czechia,Netherlands,K - Financial and insurance activities,"64 - Financial service activities, except insurance and pension funding",Claims arising out of the imposition of a forced administration upon the investor's banking enterprise by the Czech National Bank.,1900.00 USD,2001,1900.0,CZE,NLD,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Pakistan,Switzerland,"M - Professional, scientific and technical activities","74 - Other professional, scientific and technical activities",Claims arising out of Pakistan's alleged non-payment of invoices to the investor and its attempts to terminate an underlying agreement for the provision of services relating to customs clearance and control processes in Pakistan.,112.30 USD,2001,112.3,PAK,CHE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
United States of America,Canada,F - Construction,42 - Civil engineering,"Claims arising out of the Springfield Interchange Highway construction project in Virginia; particularly, alleged injuries resulting from the federal Surface Transportation Assistance Act of 1982 and implementing regulations requiring that federally-funded state highway projects used only domestically produced steel.",90.00 USD,2000,90.0,USA,CAN,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Czechia,Netherlands,J - Information and communication,60 - Programming and broadcasting activities,"Claims arising out of actions and omissions attributed to the Media Council, an organ of the Czech Republic that allegedly commercially destroyed the broadcasting station operator which was partly owned by the investor.",495.20 USD,2000,495.2,CZE,NLD,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Lebanon,Egypt,Data not available,Data not available,Data not available,Data not available,2000,,LBN,EGY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,United States of America,F - Construction,41 - Construction of buildings,Claims arising out of the alleged obstruction and interference by local authorities with the realization of the investor's construction project.,9446.00 USD,2000,9446.0,UKR,USA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Sri Lanka,United States of America,"D - Electricity, gas, steam and air conditioning supply","35 - Electricity, gas, steam and air conditioning supply","Claims arising out of the unsuccessful conclusion of a contract between the Republic of Sri Lanka and the investor for the building, ownership and operation of a power generation facility.",,2000,,LKA,USA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Morocco,Italy,F - Construction,42 - Civil engineering,"Claims arising out of several events occurred before, during and after the performance of a concession contract granted to the claimant by public bid and signed by a State-owned company.",337.60 MAD (36.70 USD),2000,36.7,MAR,ITA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Morocco,Italy,F - Construction,42 - Civil engineering,"Claims arising out of the non-payment of the contract price to the claimant in relation to a public procurement contract for the construction of a highway, which had been awarded to the investor through tender.",132639.00 ITL (62.40 USD),2000,62.4,MAR,ITA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Germany,India,Data not available,Data not available,Data not available,Data not available,2000,,DEU,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
