respondent_state,investor_home_state,economic_sector,economic_subsector,summary_of_dispute,amount_claimed_raw,year,amount_claimed_musd,respondent_state_iso3,investor_home_state_iso3,sector_A,sector_B,sector_C,sector_D,sector_E,sector_F,sector_G,sector_H,sector_I,sector_J,sector_K,sector_L,sector_M,sector_N,sector_O
"Venezuela, Bolivarian Republic of","Spain;
United Kingdom",K - Financial and insurance activities,"65 - Insurance, reinsurance and pension funding, except compulsory social security",,Data not available,2020,,VEN,ESP; GBR,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Peru,Canada,B - Mining and quarrying,7 - Mining of metal ores,"Claims arising out of the Government’s actions and omissions, through the local community of Parán, related to an alleged illegal blockade and invasion of the claimant’s “Invicta Gold Development Project“, which ultimately resulted in the loss of the mining project.",100.00 USD,2020,100.0,PER,CAN,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
China,Japan,F - Construction,41 - Construction of buildings,,Data not available,2020,,CHN,JPN,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
India,"Malaysia;
Mauritius",J - Information and communication,61 - Telecommunications,,Data not available,2020,,IND,MUS; MYS,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Georgia,Netherlands,F - Construction,42 - Civil engineering,Claims arising out of the Government’s termination of an agreement with the Anaklia Development Consortium to develop a deep water port on the Black Sea in Georgia (the Anaklia Port Project) in which the claimant had invested; the termination was allegedly preceded by a Government campaign to undermine the port project.,Data not available,2020,,GEO,NLD,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Philippines,Malaysia,"I - Accommodation and food service activities;
Tertiary - R - Arts, entertainment and recreation","55 - Accommodation;
92 - Gambling and betting activities",,100.00 USD,2020,100.0,PHL,MYS,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Korea, Republic of",China,L - Real estate activities,68 - Real estate activities,"Claims arising out of the forced sale of the claimant’s shares in a local real estate company by Woori Bank, a South Korean bank allegedly controlled by the Government.",Data not available,2020,,KOR,CHN,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Spain,Japan,"D - Electricity, gas, steam and air conditioning supply","35 - Electricity, gas, steam and air conditioning supply",Claims arising out of a series of energy reforms undertaken by the Government affecting the renewables sector.,Data not available,2020,,ESP,JPN,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Tanzania, United Republic of",United Kingdom,B - Mining and quarrying,7 - Mining of metal ores,Claims arising out of the Government’s cancellation of retention licences held by the claimants for the Ntaka Hill Nickel Project and the subsequent public tender for the joint development of areas covered by these licences without offering compensation to the claimants.,76.70 USD,2020,76.7,TZA,GBR,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Colombia,United States of America,J - Information and communication,63 - Information service activities,Claims arising out of a Government ministry’s decision not to renew the concession held by the claimant’s wholly-owned local subsidiary for the operation of the “.CO” domain name and to conduct a public tender process for the signature of a new contract.,350.00 USD,2020,350.0,COL,USA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Peru,Luxembourg,F - Construction,42 - Civil engineering,Claims arising out of the Government’s cancellation of a concession contract to build the Gasoducto Sur Peruano natural gas pipeline in 2017 and other allegedly arbitrary government measures taken related to the GSP project.,1200.00 USD,2020,1200.0,PER,LUX,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Iraq,France,J - Information and communication,61 - Telecommunications,Claims arising out of a regulatory agency’s decision to annul the claimant’s acquisition of shares in Korek Telecom and the Government’s order to transfer these shares back to the original Iraqi shareholders without paying compensation to the claimant.,500.00 USD,2020,500.0,IRQ,FRA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Croatia,Hungary,K - Financial and insurance activities,"64 - Financial service activities, except insurance and pension funding","Claims arising out of the law that prescribed a change in the currency of loans, issued in Croatia, from Swiss Franc to the Euro.",224.00 HRK (34.50 USD),2020,34.5,HRV,HUN,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Libya,Türkiye,F - Construction,41 - Construction of buildings,Claims arising out of the alleged expropriation of the claimants’ construction projects in Libya.,Data not available,2020,,LBY,TUR,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Mozambique,India,F - Construction,42 - Civil engineering,Claims arising out of the decision of the Transport and Communications Ministry to conduct a public tender for a concession allegedly promised to the claimant under a 2011 memorandum of interest between the ministry and the claimant; the concession was subsequently awarded to a third party.,115.00 USD,2020,115.0,MOZ,IND,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Norway,Latvia,"A - Agriculture, forestry and fishing",3 - Fishing and aquaculture,"Claims arising out of Government authorities’ interference with the claimants’ snow crab harvesting business, allegedly forcing them to cease their operations in the so-called Barents Sea Loophole and the maritime zones of the Svalbard archipelago, including through the arrest of the one of the claimants’ ships, criminal proceedings, fines and penalties.",448.70 EUR (533.90 USD),2020,533.9,NOR,LVA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Poland,Australia,B - Mining and quarrying,5 - Mining of coal and lignite,Claims arising out of the Government’s alleged actions to block the claimant’s coking coal projects at the Jan Karski and Debiensko mines.,806.00 GBP (1140.60 USD),2020,1140.6,POL,AUS,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahrain,Qatar,H - Transportation and storage,51 - Air transport,"Claims arising out of the Government’s alleged actions to block the operation of Qatar Airways in the country, including the closure of airspace to the claimant and the revocation of the claimant’s licences to operate.",Data not available,2020,,BHR,QAT,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Egypt,Qatar,H - Transportation and storage,51 - Air transport,"Claims arising out of the Government’s alleged actions to block the operation of Qatar Airways in the country, including the closure of airspace to the claimant and the revocation of the claimant’s licences to operate.",Data not available,2020,,EGY,QAT,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Saudi Arabia,Qatar,H - Transportation and storage,51 - Air transport,"Claims arising out of the Government’s alleged actions to block the operation of Qatar Airways in the country, including the closure of airspace to the claimant and the revocation of the claimant’s licences to operate.",Data not available,2020,,SAU,QAT,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
United Arab Emirates,Qatar,H - Transportation and storage,51 - Air transport,"Claims arising out of the Government’s alleged actions to block the operation of Qatar Airways in the country, including the closure of airspace to the claimant and the revocation of the claimant’s licences to operate.",Data not available,2020,,ARE,QAT,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Kyrgyzstan,Kazakhstan,H - Transportation and storage,49 - Land transport and transport via pipelines,,Data not available,2020,,KGZ,KAZ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Mexico,Netherlands,H - Transportation and storage,50 - Water transport,"Claims arising out of the Government’s seizure of maritime shipping company Oceanografía and other measures, which allegedly resulted in the company’s bankruptcy and the loss of the claimant’s investment in Oceanografía undertaken through loans for the purchase of vessels.",230.00 USD,2020,230.0,MEX,NLD,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Croatia,Austria,K - Financial and insurance activities,"64 - Financial service activities, except insurance and pension funding",Claims arising out of the Government’s takeover and restructuring in the form of a “extraordinary administration” of Agrokor Group.,Data not available,2020,,HRV,AUT,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Venezuela, Bolivarian Republic of",Spain,C - Manufacturing,21 - Manufacture of basic pharmaceutical products and pharmaceutical preparations,Claims arising out of Government’s alleged seizure of SM Pharma’s manufacturing facilities in Maracaibo.,200.00 USD,2020,200.0,VEN,ESP,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Turkmenistan,Türkiye,F - Construction,41 - Construction of buildings,"Claims arising out of the Government’s alleged interference with the claimant’s construction projects, including the seizure of the claimant’s machinery and equipment and its ownership rights over certain facilities.",27.00 USD,2020,27.0,TKM,TUR,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Japan,"Hong Kong, China SAR","D - Electricity, gas, steam and air conditioning supply","35 - Electricity, gas, steam and air conditioning supply",,Data not available,2020,,JPN,HKG,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Peru,Netherlands,B - Mining and quarrying,7 - Mining of metal ores,"Claims arising out of the national tax authority’s mining royalty assessments on ore processed by Cerro Verde, related penalties and interest charged on Cerro Verde.",Data not available,2020,,PER,NLD,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Colombia,United Kingdom,"B - Mining and quarrying;
Secondary - C - Manufacturing","7 - Mining of metal ores;
24 - Manufacture of basic metals",Claims arising out of the national comptroller office’s assessment of royalties for the exploitation of nickel that are allegedly owed to the State by the claimant’s local subsidiary Cerro Matoso.,93.60 USD,2020,93.6,COL,GBR,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Romania,United States of America,J - Information and communication,"59 - Motion picture, video and television programme production, sound recording and music publishing activities","Claims arising out of the Government’s alleged failure to restitute assets in Cinegrafia Română (CIRO Films), a film company held by the claimants’ family members before its seizure by the communist regime in 1948.",100.00 USD,2020,100.0,ROU,USA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Romania,Canada,J - Information and communication,"59 - Motion picture, video and television programme production, sound recording and music publishing activities","Claims arising out of the Government’s alleged failure to restitute assets in Cinegrafia Română (CIRO Films), a film company held by the claimants’ family members before its seizure by the communist regime in 1948.",100.00 USD,2020,100.0,ROU,CAN,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Georgia,United States of America,J - Information and communication,61 - Telecommunications,"Claims arising out of alleged politically-motivated interference by the Government in the management of MagtiCom, including through the arrest of MagtiCom’s founder on the basis of tax evasion charges and a forced restructuring of the company to the alleged benefit of the State.",Data not available,2020,,GEO,USA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Algeria,Switzerland,K - Financial and insurance activities,"64 - Financial service activities, except insurance and pension funding",,Data not available,2020,,DZA,CHE,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Ukraine,China,C - Manufacturing,30 - Manufacture of other transport equipment,Claims arising out of the State authorities’ alleged actions to freeze the claimants’ acquisition of shares in aerospace company Motor Sich.,3500.00 USD,2020,3500.0,UKR,CHN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic,Italy,F - Construction,42 - Civil engineering,,28.80 USD,2020,28.8,DOM,ITA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Panama,Italy,F - Construction,42 - Civil engineering,"Claims arising out of the Panama Canal Authority’s (ACP) alleged breaches of the contract signed with the GUPC consortium for the construction of the third set of locks of the Panama Canal, including ACP’s alleged failure to co-finance extra costs incurred by the consortium.",2200.00 USD,2020,2200.0,PAN,ITA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Canada,United States of America,"D - Electricity, gas, steam and air conditioning supply","35 - Electricity, gas, steam and air conditioning supply","Claims arising out of Ontario Government’s alleged failure to prevent the electricity operator IESO from terminating the feed-in-tariff contract with the claimant’s subsidiary WWIS in 2020, following Ontario Government’s prior moratorium on offshore wind farms that was the subject of the Windstream I arbitration.",333.00 USD,2020,333.0,CAN,USA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Tanzania, United Republic of",Canada,B - Mining and quarrying,7 - Mining of metal ores,"Claims arising out of the Government’s cancellation of retention licences for mineral rights issued prior to the 2018 mining regulations, following amendments to the Mining Act in 2017, and the transfer of related mining rights to the government, including those held by the claimant’s local subsidiary for the SMP gold project.",116.10 CAD (83.80 USD),2020,83.8,TZA,CAN,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Peru,United States of America,C - Manufacturing,19 - Manufacture of coke and refined petroleum products,"Claims arising out of state entities’ alleged obstruction of the claimant’s business activities at the Pucallpa refinery operated by its local company, leading to the refinery’s closure.",136.30 USD ( USD),2020,136.3,PER,USA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Bolivia, Plurinational State of",Switzerland,K - Financial and insurance activities,"65 - Insurance, reinsurance and pension funding, except compulsory social security","Claims arising out of the planned transfer of pension fund administration from Futuro de Bolivia to a public entity, following the 2010 enactment of a law that nationalized the country’s pension fund sector.",129.10 USD,2020,129.1,BOL,CHE,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Ecuador,Canada,F - Construction,41 - Construction of buildings,Claims arising out of the tax authority’s alleged denial of certain tax exemptions to the claimant related to an airport construction project undertaken by the Quiport consortium in which the claimant had participated.,Data not available,2019,,ECU,CAN,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Ethiopia,Türkiye,F - Construction,41 - Construction of buildings,,Data not available,2019,,ETH,TUR,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Kuwait,Spain,K - Financial and insurance activities,66 - Activities auxiliary to financial service and insurance activities,Claims arising out of the Government’s termination of certain health services contracts between the Ministry of Health and local entity PSC in which the claimants allegedly invested following the entity’s privatization in 2017.,800.00 USD,2019,800.0,KWT,ESP,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Türkiye,Kuwait,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,"47 - Retail trade, except of motor vehicles and motorcycles","Claims arising out of the alleged non-payment of profit shares to the claimant and his removal from the Board of Directors of Aydinli Hazir Giyim, following the company’s placing under the trusteeship of the Savings Deposit Insurance Fund (SDIF) of Turkey.",Data not available,2019,,TUR,KWT,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Colombia,United States of America,"M - Professional, scientific and technical activities",71 - Architectural and engineering activities; technical testing and analysis,"Claims arising out of $2.4 billion liability imposed by the national comptroller general on the claimants’ joint venture for alleged acts of gross negligence or wilful misconduct in the expenditure of state funds related to the Cartagena Refinery modernization project. According to the claimants, the joint venture provided certain limited management consultancy services under a contract with state-owned Reficar, the party allegedly responsible for the misconduct.",Data not available,2019,,COL,USA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Nepal,United Kingdom,J - Information and communication,61 - Telecommunications,"Claims arising out of the Government’s imposition of a capital gains tax on Axiata’s acquisition of Reynolds Holding Limited from TeliaSonera in 2016, levied on Axiata’s subsidiary Ncell.",348.00 USD,2019,348.0,NPL,GBR,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Dominican Republic,Spain,C - Manufacturing,10 - Manufacture of food products,Claims arising out of the State Sugar Council’s alleged illegal take-over of sugar production facilities operated by the claimants’ local subsidiary based on a lease agreement with the State Sugar Council.,46.80 USD,2019,46.8,DOM,ESP,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan,"Iran, Islamic Republic of","C - Manufacturing;
Secondary - C - Manufacturing","10 - Manufacture of food products;
11 - Manufacture of beverages",,Data not available,2019,,AZE,IRN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Spain,Luxembourg,"D - Electricity, gas, steam and air conditioning supply","35 - Electricity, gas, steam and air conditioning supply",Claims arising out of a series of energy reforms undertaken by the Government affecting the renewable energy sector.,Data not available,2019,,ESP,LUX,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Panama,Dominican Republic,K - Financial and insurance activities,"65 - Insurance, reinsurance and pension funding, except compulsory social security","Claims arising out of the alleged forced liquidation of the insurance company Seguros BBA, in which the claimant held a stake, ordered by the regulatory authority for the insurance industry (Superintendencia de Seguros y Reaseguros de Panamá) in 2018.",93.80 USD,2019,93.8,PAN,DOM,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Philippines,Switzerland,B - Mining and quarrying,6 - Extraction of crude petroleum and natural gas,,Data not available,2019,,PHL,CHE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Egypt,United Arab Emirates,H - Transportation and storage,49 - Land transport and transport via pipelines,,Data not available,2019,,EGY,ARE,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
United Arab Emirates,United Kingdom,L - Real estate activities,68 - Real estate activities,,57.00 AED (15.50 USD),2019,15.5,ARE,GBR,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Viet Nam,United States of America,F - Construction,42 - Civil engineering,,2750.00 USD,2019,2750.0,VNM,USA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Venezuela, Bolivarian Republic of","Barbados;
Spain",G - Wholesale and retail trade; repair of motor vehicles and motorcycles,"46 - Wholesale trade, except of motor vehicles and motorcycles",Claims arising out of the Government’s alleged expropriatory measures related to the claimants’ investments in the food sector.,100.00 USD,2019,100.0,VEN,BRB; ESP,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Costa Rica,Spain,C - Manufacturing,10 - Manufacture of food products,"Claims arising out of a series of alleged measures by Government agencies against the claimant’s company, including the forced closure of Ibérico’s food production facilities, the revocation of related permits and the initiation of bankruptcy proceedings.",101.00 USD,2019,101.0,CRI,ESP,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Egypt,Netherlands,Data not available,Data not available,,1.90 USD,2019,1.9,EGY,NLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saudi Arabia,Türkiye,F - Construction,41 - Construction of buildings,,Data not available,2019,,SAU,TUR,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Canada,United States of America,"M - Professional, scientific and technical activities",71 - Architectural and engineering activities; technical testing and analysis,"Claims arising out of the Government’s alleged unilateral disclosure to third parties of proprietary marine seismic data created or acquired by the claimants’ company GSI, without compensation for GSI or the possibility of recourse. According to the claimants, the Government thereby confiscated GSI’s intellectual property rights in the seismic data.",2529.00 USD,2019,2529.0,CAN,USA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Panama,Panama,"D - Electricity, gas, steam and air conditioning supply","35 - Electricity, gas, steam and air conditioning supply","Claims arising out of the Government’s delay in the construction of electricity transmission infrastructure and the suspension of compensation payments due to the claimant under a 2014 agreement with the Ministry of Economy and Finance, related to local court proceedings brought by the national comptroller general contesting the constitutionality of the compensation agreement.",11.00 EUR (12.50 USD),2019,12.5,PAN,PAN,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Sierra Leone,United Kingdom,B - Mining and quarrying,7 - Mining of metal ores,Claims arising out of the government’s decision in 2019 to indefinitely suspend iron ore exports from the Marampa mine operated by the claimant’s local subsidiary SL Mining under a long-term mining licence awarded to it in 2017.,Data not available,2019,,SLE,GBR,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Venezuela, Bolivarian Republic of",Italy,F - Construction,42 - Civil engineering,,Data not available,2019,,VEN,ITA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Colombia,Switzerland,H - Transportation and storage,52 - Warehousing and support activities for transportation,"Claims arising out of the building and maintenance of an access channel related to Puerto Nuevo, a port constructed and operated by the claimants under a 30-year concession agreement signed with Colombia’s national infrastructure agency in 2011.",59.40 USD,2019,59.4,COL,CHE,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Mexico,United Kingdom,H - Transportation and storage,50 - Water transport,"Claims arising out of the Government’s alleged taking of control and possession of two vessels belonging to Marfield and Shanara from 2014 until 2017 and 2018, in connection with measures against another company (Oceanografía SA de C.V.).",Data not available,2019,,MEX,GBR,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Guatemala,Israel,"D - Electricity, gas, steam and air conditioning supply","35 - Electricity, gas, steam and air conditioning supply",Claims arising out of Guatemalan tax authorities’ imposition of alleged back taxes (for 2011 and 2012) on two electricity distributors acquired by the claimant in 2016.,117.00 USD,2019,117.0,GTM,ISR,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Morocco,Italy,F - Construction,42 - Civil engineering,"Claims arising out of a Government agency’s alleged failure to pay the claimant the full amounts for the completed construction of the Oudayas tunnel in 2011 and to compensate the claimant for undue penalties imposed for construction delays. According to the claimant, the project time and costs increased due to the agency’s misrepresentation of the project during the international tender process.",50.00 EUR (55.80 USD),2019,55.8,MAR,ITA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Greece,China,"D - Electricity, gas, steam and air conditioning supply","35 - Electricity, gas, steam and air conditioning supply",,Data not available,2019,,GRC,CHN,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Kyrgyzstan,Kazakhstan,C - Manufacturing,24 - Manufacture of basic metals,,49.90 USD,2019,49.9,KGZ,KAZ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Peru,Singapore,"D - Electricity, gas, steam and air conditioning supply","35 - Electricity, gas, steam and air conditioning supply","Claims arising out of a regulatory agency’s withdrawal of an exclusive right the local subsidiary Kallpa had been awarded through a bid procedure in 2016 to provide a service related to the frequency of the power generation system, as well as changes to the calculation of transmission line tolls for energy generators, allegedly benefitting state-owned electricity companies to the claimants’ detriment.",195.30 USD,2019,195.3,PER,SGP,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Serbia,Bulgaria,B - Mining and quarrying,5 - Mining of coal and lignite,"Claims arising out of a Government agency’s cancellation of a privatization contract with the claimant in 2010, recovering the 70% stake in Rudnik Kovin that the claimant had acquired after a public auction in 2007.",35.00 EUR (37.40 USD),2019,37.4,SRB,BGR,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
India,"Korea, Republic of","D - Electricity, gas, steam and air conditioning supply","35 - Electricity, gas, steam and air conditioning supply",,400.00 USD,2019,400.0,IND,KOR,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Uruguay,Panama,H - Transportation and storage,51 - Air transport,"Claims arising out of the Government’s decision to nationalize and subsequently liquidate the airline Pluna in which Leadgate, the claimant’s private equity fund, held a majority stake.",Data not available,2019,,URY,PAN,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Mexico,United States of America,B - Mining and quarrying,8 - Other mining and quarrying,"Claims arising out of Government agencies’ revocation of the port concession held by the claimant’s wholly-owned subsidiary, Calica, and the forced closure of Calica’s quarrying operations at the “La Adelita” and “El Corchalito” sites in the State of Quintana Roo. According to the claimant, these events were preceded Government agencies’ unilateral amendments to agreements with Calica and the imposition of allegedly illegal taxes, contested by Calica in several local court cases.",500.00 USD,2019,500.0,MEX,USA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Venezuela, Bolivarian Republic of",Uruguay,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,"46 - Wholesale trade, except of motor vehicles and motorcycles","Claims arising out of the Government’s alleged revocation of an tobacco import and sales licence granted to the claimant’s local company Racing Tobacco, and seizure of the claimant’s shipments of cigarettes from Uruguay to the free port of Margarita Island on the ground that the company violated a law prohibiting the sale of imported cigarettes at a lower price than those produced domestically.",Data not available,2019,,VEN,URY,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Peru,United States of America,"D - Electricity, gas, steam and air conditioning supply","35 - Electricity, gas, steam and air conditioning supply","Claims arising out of the Government’s alleged breach of a concession agreement for a hydroelectric plant project (the “Mamacocha Project”) through delays of permitting and approval processes, discriminatory and politically motivated interferences by regional authorities, and attempts to unilaterally and unlawfully cancel the project by rendering it impossible to complete.",45.60 USD,2019,45.6,PER,USA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Poland,Cyprus,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,"46 - Wholesale trade, except of motor vehicles and motorcycles","Claims arising out of a government agency’s imposition of a financial penalty on the claimant’s subsidiary JSE, which Polish administrative courts later overturned, and the government agency’s subsequent failure to repay accrued interest to the claimant upon the reimbursement of the penalty.",152.90 PLN (34.60 USD),2019,34.6,POL,CYP,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Croatia,Germany,L - Real estate activities,68 - Real estate activities,Claims arising out of the alleged invalidation by Croatia’s courts of a transaction between the claimant’s father and the State relating to real estate assets on the grounds that the transaction was not carried out in conformity with local law.,Data not available,2019,,HRV,DEU,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Argentina,Netherlands,K - Financial and insurance activities,"65 - Insurance, reinsurance and pension funding, except compulsory social security","Claims arising out of the Government’s nationalization of the country’s private pension system in 2008, and the seizure of assets held by Orígenes, which subsequently entered into liquidation.",Data not available,2019,,ARG,NLD,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
European Union,Switzerland,"H - Transportation and storage;
Tertiary - F - Construction","49 - Land transport and transport via pipelines;
42 - Civil engineering","Claims arising out of the EU’s actions related to the EU Gas Directive amendment of 2019 that impact new gas transmission lines to and from third countries and allegedly put the Nord Stream 2 gas pipeline project at a disadvantage, by treating it as ineligible for a derogation from the amended Directive that existing pipelines benefit from.",Data not available,2019,,,CHE,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Mexico,United States of America,B - Mining and quarrying,8 - Other mining and quarrying,"Claims arising out of the decision by Mexico’s Ministry of the Environment and Natural Resources to deny environmental permits for the claimant’s seabed mining project in the local subsidiary’s concession area, offshore from the coast of Baja California Sur in Mexico. Allegedly, the Ministry’s decision disregarded scientific evidence provided by the claimant in the project development plan and environmental impact assessment.",3540.00 USD,2019,3540.0,MEX,USA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Georgia,United Kingdom,C - Manufacturing,12 - Manufacture of tobacco products,"Claims arising out of Government authorities’ measures to collect tax debt incurred by OGT, including a local court’s order allowing the seizure and sale of assets belonging to OGT and the claimant.",Data not available,2019,,GEO,GBR,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,Spain,"D - Electricity, gas, steam and air conditioning supply","35 - Electricity, gas, steam and air conditioning supply",,667.30 USD,2019,667.3,ARG,ESP,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Peru,Switzerland,J - Information and communication,60 - Programming and broadcasting activities,"Claims arising out of a 2001 judicial resolution placing Panamericana Televisión under temporary administration, suspending the rights of its shareholders as well as the exercise of the functions of its board of directors.",460.00 USD,2019,460.0,PER,CHE,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Egypt,United Kingdom,B - Mining and quarrying,6 - Extraction of crude petroleum and natural gas,"Claims arising out of the alleged failure of the Egyptian General Petroleum Company, a state-owned company, to pay debts owed to the claimants under gas sales agreements.",30.00 USD,2019,30.0,EGY,GBR,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Romania,Austria,C - Manufacturing,19 - Manufacture of coke and refined petroleum products,,Data not available,2019,,ROU,AUT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Saudi Arabia,Qatar,C - Manufacturing,21 - Manufacture of basic pharmaceutical products and pharmaceutical preparations,"Claims arising out of the alleged repudiation of long-term sales contracts concluded between Saudi Arabia’s Ministry of Health and the claimants, after Saudi Arabia suspended diplomatic relations with Qatar in 2017. According to the claimants, the Ministry’s measures included a failure to pay for products supplied by the claimants under these contracts and allegedly forced them to close their warehouses in the country.",Data not available,2019,,SAU,QAT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Georgia,Australia,B - Mining and quarrying,6 - Extraction of crude petroleum and natural gas,"Claims arising out of the Government’s alleged wrongful termination of a production sharing contract with Strait Oil and Gas Limited for “block VIA”, an oil and gas project in Georgia in which the claimant held an indirect interest.",21.90 USD,2019,21.9,GEO,AUS,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania,Russian Federation,K - Financial and insurance activities,"64 - Financial service activities, except insurance and pension funding","Claims arising out of the nationalization of Snoras bank in 2011 related to purported insolvency risks and suspected criminal activity, and the bank’s ensuing liquidation.",300.00 USD,2019,300.0,LTU,RUS,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Tanzania, United Republic of",Netherlands,K - Financial and insurance activities,"64 - Financial service activities, except insurance and pension funding",,Data not available,2019,,TZA,NLD,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Spain,Belgium,"D - Electricity, gas, steam and air conditioning supply","35 - Electricity, gas, steam and air conditioning supply",Claims arising out of a series of energy reforms undertaken by the Government affecting the renewables sector.,Data not available,2019,,ESP,BEL,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
